function_name|type|description|file_path|call_count
ufw::menu::count_items()|Source|Считает количество пунктов меню (Корректно работает до 9 пунктов)|./modules/helpers/ufw.sh|1
ufw::menu::get_user_choice()|Source|Запрашивает выбор пользователя и возвращает выбранный ID|./modules/helpers/ufw.sh|1
ufw::orchestrator::dispatch_logic()|Orchestrator|Применяет изменения UFW на основе выбранного действия|./modules/helpers/ufw.sh|1
ufw::toggle::status()|Orchestrator|Переключает состояние UFW|./modules/helpers/ufw.sh|1
ufw::status::force_enable()|Orchestrator|Активирует UFW с watchdog и подтверждением подключения|./modules/helpers/ufw.sh|1
log::rollback::instructions()|Sink|Отображает инструкции пользователю для проверки подключения|./modules/helpers/ufw.sh|1
ufw::toggle::ping()|Orchestrator|Переключает состояние PING|./modules/helpers/ufw.sh|1
ufw::orchestrator::disable_ping()|Orchestrator|Отключает пинг через UFW (бэкап + трансформация + reload)|./modules/helpers/ufw.sh|1
ufw::log::status()|Sink|Логирует состояние UFW|./modules/helpers/ufw.sh|1
ufw::log::ping_status()|Sink|Логирует состояние PING|./modules/helpers/ufw.sh|1
ufw::orchestrator::log_statuses()|Orchestrator|Отображает статусы UFW: общее состояние, правила, состояние PING|./modules/helpers/ufw.sh|5
ufw::ping::is_configured()|Filter|Проверяет, существует ли бэкап файл настроек PING|./modules/helpers/ufw.sh|3
ufw::ping::backup_file()|Filter|Создает бэкап файла before.rules|./modules/helpers/ufw.sh|1
ufw::ping::disable_in_rules()|Transformer|Заменяет ACCEPT на DROP в ICMP правилах через|./modules/helpers/ufw.sh|1
ufw::ping::restore()|Filter|Восстанавливает файл before.rules из бэкапа и удаляет бэкап|./modules/helpers/ufw.sh|1
ufw::status::reload()|Sink|Выполняет ufw reload для применения изменений|./modules/helpers/ufw.sh|1
get_os_id()|Filter|Получает строку ID текущей системы|./modules/os-check.sh|1
check()|Orchestrator|Проверяет совместимость текущей ОС с разрешенной|./modules/os-check.sh|6
main()|NO_CONTRACT|Функция без контракта|./modules/os-check.sh|16
check()|Orchestrator|Проверяет состояние SSH портов и правил|./modules/ssh-port-check.sh|6
main()|NO_CONTRACT|Функция без контракта|./modules/ssh-port-check.sh|16
ssh::orchestrator::dispatch_logic()|Orchestrator|Определяет состояние конфигурации SSH и переключает логику модуля на соответствующий сценарий|./modules/ssh-port-modify.sh|1
main()|Orchestrator|Основная точка входа для модуля изменения SSH порта|./modules/ssh-port-modify.sh|16
check()|Orchestrator|Настраивает SSH в service режим, если это необходимо|./modules/ssh-socket-check.sh|6
main()|NO_CONTRACT|Функция без контракта|./modules/ssh-socket-check.sh|16
check()|Orchestrator|Проверяет необходимость перезагрузки системы|./modules/system-reload-check.sh|6
main()|NO_CONTRACT|Функция без контракта|./modules/system-reload-check.sh|16
sys::update::get_command()|Source|Генерирует команду обновления системы для apt|./modules/system-update.sh|1
sys::update::execute()|Sink|Выполняет обновление системы используя переданную команду|./modules/system-update.sh|1
sys::update::orchestrator()|Orchestrator|Оркестратор процесса обновления системы|./modules/system-update.sh|1
main()|Orchestrator|Основная точка входа модуля обновления системы|./modules/system-update.sh|16
check()|Orchestrator|Проверяет наличие UFW и устанавливает при необходимости|./modules/ufw-check.sh|6
main()|NO_CONTRACT|Функция без контракта|./modules/ufw-check.sh|16
ufw::orchestrator::run_module()|Orchestrator|Запускает модуль UFW с механизмом rollback только при включении UFW|./modules/ufw-modify.sh|1
main()|Orchestrator|Основная точка входа для модуля изменения состояния UFW|./modules/ufw-modify.sh|16
is_sourced()|Filter|Проверяет, был ли скрипт вызван через source|./oneline-runner.sh|1
log_success()|Sink|Выводит успешное сообщение с символом [V]|./oneline-runner.sh|6
log_error()|Sink|Выводит сообщение об ошибке с символом [X]|./oneline-runner.sh|47
log_info()|Sink|Выводит информационное сообщение с символом [ ]|./oneline-runner.sh|85
cleanup_handler()|Orchestrator|Очистка временных файлов|./oneline-runner.sh|2
hello()|Sink|Выводит приветственное сообщение|./oneline-runner.sh|1
check_root_permissions()|Filter|Проверяет права root|./oneline-runner.sh|1
ask_user_how_to_run()|NO_CONTRACT|Функция без контракта|./oneline-runner.sh|1
_create_tmp_dir()|Source|Создаёт временную директорию|./oneline-runner.sh|1
_download_archive()|Source|Скачивает архив во временный файл|./oneline-runner.sh|1
_unpack_archive()|Filter|Распаковывает архив|./oneline-runner.sh|1
_check_archive_unpacking()|Filter|Проверяет успешность распаковки во временную директорию|./oneline-runner.sh|1
_add_uninstall_path()|Sink|Добавляет путь в файл лога установки для последующего удаления|./oneline-runner.sh|2
_check_symlink_exists()|Filter|Проверяет наличие символической ссылки|./oneline-runner.sh|1
_create_install_directory()|Orchestrator|Создание директории установки|./oneline-runner.sh|1
_copy_installation_files()|Orchestrator|Копирование файлов установки|./oneline-runner.sh|1
_create_symlink()|Orchestrator|Создание символической ссылки|./oneline-runner.sh|1
_set_execution_permissions()|Orchestrator|Установка прав на выполнение|./oneline-runner.sh|1
install_to_system()|Orchestrator|Функция установки в систему|./oneline-runner.sh|1
main()|Orchestrator|Основная точка входа|./oneline-runner.sh|16
find_bash_files()|Source|Находит все bash файлы в проекте|./utils/generate_function_map.sh|1
extract_functions_from_file()|Filter|Извлекает функции и их контракты из bash файла|./utils/generate_function_map.sh|1
count_function_calls()|Filter|Подсчитывает количество вызовов каждой функции|./utils/generate_function_map.sh|1
main()|Orchestrator|Основная точка входа для генерации карты функций|./utils/generate_function_map.sh|16
rollback::orchestrator::stop()|Orchestrator|Останавливает процесс таймера отката и завершает скрипт|./utils/rollback.sh|1
rollback::orchestrator::immediate()|Orchestrator|Немедленно выполняет тотальный откат при получении SIGUSR2|./utils/rollback.sh|2
rollback::orchestrator::ssh()|Orchestrator|Полный откат для SSH модуля - сброс правил SSH и отключение UFW|./utils/rollback.sh|1
rollback::orchestrator::ufw()|Orchestrator|Простой откат для UFW модуля - только отключение UFW|./utils/rollback.sh|1
rollback::orchestrator::full()|Orchestrator|Полная очистка системы от следов BSSS и деактивация UFW.|./utils/rollback.sh|2
rollback::orchestrator::watchdog_timer()|Orchestrator|Таймер для автоматического отката|./utils/rollback.sh|1
main()|Orchestrator|Основная точка входа|./utils/rollback.sh|16
